,0,1,2,3,4,5,6,7,8,9
72,TE_00001845_INT#LTR/unknown,LTR,Copia,Ale,0,+,GAG|Ale RT|Ale,2,1,TE_00001845
73,TE_00001850_INT#LTR/Copia,LTR,Copia,Ale,0,+,PROT|Ale INT|Ale,2,1,TE_00001850
74,TE_00001854_INT#LTR/Copia,LTR,Copia,Ale,1,+,GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale,5,1,TE_00001854
75,TE_00001863_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,-,INT|Retand,1,1,TE_00001863
76,TE_00001864_INT#LTR/Copia,LTR,Copia,Ale,1,+,GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale,5,1,TE_00001864
77,TE_00001876_INT#LTR/Copia,LTR,Gypsy,CRM,0,+,GAG|CRM PROT|CRM,2,1,TE_00001876
78,TE_00001891_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,INT|Retand,1,1,TE_00001891
79,TE_00001893_INT#LTR/Copia,LTR,Copia,Ale,0,?,RH|Ale RT|Ale,2,1,TE_00001893
80,TE_00001904_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,INT|Retand,1,1,TE_00001904
81,TE_00001911_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,-,aRH|Retand INT|Retand,2,1,TE_00001911
82,TE_00001912_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,RT|Retand,1,1,TE_00001912
83,TE_00001919_INT#LTR/unknown,LTR,Gypsy,Reina,0,+,GAG|Reina,1,1,TE_00001919
84,TE_00001920_INT#LTR/Gypsy,LTR,Gypsy,TatII,0,+,aRH|TatII,1,1,TE_00001920
85,TE_00001922_INT#LTR/Gypsy,LTR,Gypsy,Tekay,0,+,GAG|Tekay,1,1,TE_00001922
86,TE_00001926_INT#LTR/Gypsy,LTR,Gypsy,Ogre,0,+,aRH|Ogre,1,1,TE_00001926
87,TE_00001927_INT#LTR/Copia,LTR,Copia,Tork,1,+,GAG|Tork PROT|Tork INT|Tork RT|Tork RH|Tork,5,1,TE_00001927
88,TE_00001933_INT#LTR/Gypsy,LTR,Gypsy,Reina,1,+,GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina,6,1,TE_00001933
89,TE_00001936_INT#LTR/Gypsy,LTR,Gypsy,Reina,0,+,GAG|Reina PROT|Reina RT|Reina CHD|Reina,4,1,TE_00001936
90,TE_00001952_INT#LTR/Copia,LTR,Copia,Ivana,0,+,GAG|Ivana RT|Ivana RH|Ivana,3,1,TE_00001952
91,TE_00001957_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,aRH|Retand,1,1,TE_00001957
92,TE_00001964_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,aRH|Retand,1,1,TE_00001964
93,TE_00001967_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,GAG|Retand,1,1,TE_00001967
94,TE_00001979_INT#LTR/Copia,LTR,Copia,Angela,0,+,RH|Angela,1,1,TE_00001979
95,TE_00001983_INT#LTR/Gypsy,LTR,Gypsy,Reina,0,-,CHD|Reina,1,1,TE_00001983
96,TE_00001991_INT#LTR/Copia,LTR,Copia,Ale,0,+,PROT|Ale INT|Ale,2,1,TE_00001991
97,TE_00001995_INT#LTR/Copia,LTR,Copia,SIRE,0,+,GAG|SIRE,1,1,TE_00001995
98,TE_00002001_INT#LTR/unknown,LTR,Copia,Bianca,0,+,RH|Bianca,1,1,TE_00002001
99,TE_00002002_INT#LTR/Copia,LTR,Copia,Ale,0,+,PROT|Ale INT|Ale RT|Ale RH|Ale,4,1,TE_00002002
100,TE_00002015_INT#LTR/Gypsy,LTR,Gypsy,Ogre,0,+,PROT|Ogre RT|Ogre RH|Ogre INT|Ogre,4,1,TE_00002015
101,TE_00002019_INT#LTR/Gypsy,LTR,Gypsy,Tekay,0,+,PROT|Tekay,1,1,TE_00002019
102,TE_00002039_INT#LTR/Copia,LTR,Copia,SIRE,0,+,GAG|SIRE,1,1,TE_00002039
103,TE_00002047_INT#LTR/Gypsy,LTR,Gypsy,Tekay,0,+,PROT|Tekay,1,1,TE_00002047
104,TE_00002051_INT#LTR/Gypsy,LTR,Gypsy,Reina,0,+,GAG|Reina PROT|Reina RT|Reina RH|Reina CHD|Reina,5,1,TE_00002051
105,TE_00002053_INT#LTR/Copia,LTR,Copia,Ale,0,+,PROT|Ale INT|Ale,2,1,TE_00002053
106,TE_00002069_INT#LTR/Copia,LTR,Copia,Ale,1,+,GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale,5,1,TE_00002069
107,TE_00002101_INT#LTR/Gypsy,LTR,Gypsy,Reina,0,+,RT|Reina RH|Reina INT|Reina CHD|Reina,4,1,TE_00002101
108,TE_00002106_INT#LTR/Gypsy,LTR,Gypsy,Reina,1,+,GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina,6,1,TE_00002106
109,TE_00002108_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,INT|Retand,1,1,TE_00002108
110,TE_00002110_INT#LTR/Copia,LTR,Copia,Ale,0,+,PROT|Ale INT|Ale,2,1,TE_00002110
111,TE_00002113_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,-,GAG|Retand PROT|Retand aRH|Retand INT|Retand,4,1,TE_00002113
112,TE_00002125_INT#LTR/unknown,LTR,Copia,Bianca,0,+,RH|Bianca,1,1,TE_00002125
113,TE_00002141_INT#LTR/Copia,LTR,Copia,Ale,0,+,GAG|Ale PROT|Ale INT|Ale RH|Ale,4,1,TE_00002141
114,TE_00002146_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,-,INT|Retand,1,1,TE_00002146
115,TE_00002147_INT#LTR/Gypsy,LTR,Gypsy,Reina,0,+,GAG|Reina PROT|Reina RT|Reina RH|Reina,4,1,TE_00002147
116,TE_00002175_INT#LTR/Gypsy,LTR,Gypsy,Tekay,0,+,GAG|Tekay PROT|Tekay,2,1,TE_00002175
117,TE_00002177_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,INT|Retand,1,1,TE_00002177
118,TE_00002182_INT#LTR/Copia,LTR,Copia,Ale,0,+,PROT|Ale INT|Ale RT|Ale RH|Ale,4,1,TE_00002182
119,TE_00002213_LTR#LTR/Copia,LTR,Copia,SIRE,0,+,RT|SIRE RH|SIRE,2,2,TE_00002213
120,TE_00002219_INT#LTR/Gypsy,LTR,Gypsy,Reina,1,+,GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina,6,1,TE_00002219
121,TE_00002230_INT#LTR/Gypsy,LTR,Gypsy,Tekay,0,+,PROT|Tekay,1,1,TE_00002230
122,TE_00002232_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,INT|Retand,1,1,TE_00002232
123,TE_00002256_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,aRH|Retand,1,1,TE_00002256
124,TE_00002266_INT#LTR/Gypsy,LTR,Gypsy,Ogre,0,+,PROT|Ogre RT|Ogre RH|Ogre INT|Ogre,4,1,TE_00002266
125,TE_00002280_INT#LTR/Gypsy,LTR,Gypsy,Reina,1,+,GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina,6,1,TE_00002280
126,TE_00002309_INT#LTR/unknown,LTR,Copia,Ale,0,+,INT|Ale,1,1,TE_00002309
127,TE_00002342_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,INT|Retand,1,1,TE_00002342
128,TE_00002360_INT#LTR/Copia,LTR,Copia,Ale,0,+,GAG|Ale,1,1,TE_00002360
129,TE_00002367_INT#LTR/unknown,LTR,Copia,Ale,0,+,GAG|Reina PROT|Ale INT|Ale RT|Ale CHD|Reina,5,1,TE_00002367
130,TE_00002370_INT#LTR/Gypsy,LTR,Gypsy,Reina,0,+,INT|Reina CHD|Reina,2,1,TE_00002370
131,TE_00002375_INT#LTR/Copia,LTR,Copia,Ale,0,+,PROT|Ale INT|Ale RT|Ale,3,1,TE_00002375
132,TE_00002386_INT#LTR/Copia,LTR,Copia,Ivana,0,+,RH|Ivana,1,1,TE_00002386
133,TE_00002401_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,-,RT|Retand aRH|Retand INT|Retand,3,1,TE_00002401
134,TE_00002406_INT#LTR/Copia,LTR,Copia,Ale,1,+,GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale,5,1,TE_00002406
135,TE_00002428_INT#LTR/Gypsy,LTR,Gypsy,Reina,1,+,GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina,6,1,TE_00002428
136,TE_00002431_INT#LTR/Copia,LTR,Copia,Ale,0,+,PROT|Ale INT|Ale,2,1,TE_00002431
137,TE_00002434_INT#LTR/Copia,LTR,Copia,SIRE,0,+,GAG|SIRE,1,1,TE_00002434
138,TE_00002457_INT#LTR/Gypsy,LTR,Gypsy,Tekay,0,+,PROT|Tekay,1,1,TE_00002457
139,TE_00002462_INT#LTR/Copia,LTR,Copia,Ikeros,0,+,INT|Ikeros,1,1,TE_00002462
140,TE_00002463_INT#LTR/Copia,LTR,Copia,Ale,0,+,PROT|Ale INT|Ale,2,1,TE_00002463
141,TE_00002499_INT#LTR/Gypsy,LTR,Gypsy,Reina,1,+,GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina,6,1,TE_00002499
142,TE_00002500_INT#LTR/Copia,LTR,Gypsy,Reina,1,+,GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina,6,1,TE_00002500
143,TE_00002516_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,RT|Retand,1,1,TE_00002516
144,TE_00002524_INT#LTR/Copia,LTR,Copia,SIRE,0,+,GAG|SIRE,1,1,TE_00002524
145,TE_00002529_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,aRH|Retand,1,1,TE_00002529
146,TE_00002535_INT#LTR/unknown,LTR,Copia,Ale,0,+,PROT|Ale INT|Ale,2,1,TE_00002535
147,TE_00002542_INT#LTR/Gypsy,LTR,Gypsy,Reina,0,+,PROT|Reina INT|Reina CHD|Reina,3,1,TE_00002542
148,TE_00002549_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,INT|Retand,1,1,TE_00002549
149,TE_00002561_INT#LTR/Gypsy,LTR,Gypsy,mixture,0,-,aRH|TatII INT|Retand,2,1,TE_00002561
150,TE_00002564_INT#LTR/Gypsy,LTR,Copia,Ikeros,0,+,INT|Ikeros RH|Ikeros,2,1,TE_00002564
151,TE_00002569_INT#LTR/Copia,LTR,Copia,Ale,0,+,RT|Ale,1,1,TE_00002569
152,TE_00002571_INT#LTR/Copia,LTR,Copia,Ale,0,+,GAG|Ale PROT|Ale INT|Ale RT|Ale,4,1,TE_00002571
153,TE_00002598_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,RH|Retand INT|Retand,2,1,TE_00002598
154,TE_00002640_LTR#LTR/Copia,LTR,Copia,SIRE,0,+,GAG|SIRE PROT|SIRE INT|SIRE,3,2,TE_00002640
155,TE_00002651_INT#LTR/Copia,LTR,Copia,Ale,0,+,PROT|Ale INT|Ale RT|Ale RH|Ale,4,1,TE_00002651
156,TE_00002655_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,RH|Retand,1,1,TE_00002655
157,TE_00002656_INT#LTR/Copia,LTR,Copia,Ale,1,+,GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale,5,1,TE_00002656
158,TE_00002657_INT#LTR/Copia,LTR,Copia,Ale,0,+,GAG|Ale PROT|Ale INT|Ale,3,1,TE_00002657
159,TE_00002661_INT#LTR/unknown,LTR,Gypsy,Reina,0,+,RH|Reina,1,1,TE_00002661
160,TE_00002662_INT#LTR/Gypsy,LTR,Gypsy,CRM,0,+,GAG|CRM,1,1,TE_00002662
161,TE_00002680_INT#LTR/Gypsy,LTR,Gypsy,CRM,0,+,GAG|CRM PROT|CRM,2,1,TE_00002680
162,TE_00002687_INT#LTR/Copia,LTR,Copia,Ale,1,+,GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale,5,1,TE_00002687
163,TE_00002695_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,PROT|Retand,1,1,TE_00002695
164,TE_00002697_INT#LTR/Gypsy,LTR,Gypsy,Tekay,0,+,CHD|Tekay,1,1,TE_00002697
165,TE_00002716_INT#LTR/Copia,LTR,Copia,Ale,0,+,PROT|Ale INT|Ale RT|Ale RH|Ale,4,1,TE_00002716
166,TE_00002736_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,-,aRH|Retand,1,1,TE_00002736
167,TE_00002750_INT#LTR/Gypsy,LTR,Gypsy,mixture,0,+,aRH|TatII INT|Retand,2,1,TE_00002750
168,TE_00002757_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,INT|Retand,1,1,TE_00002757
169,TE_00002766_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,aRH|Retand INT|Retand,2,1,TE_00002766
170,TE_00002781_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,aRH|Retand,1,1,TE_00002781
171,TE_00002788_INT#LTR/Copia,LTR,Copia,Ale,0,+,PROT|Ale INT|Ale,2,1,TE_00002788
172,TE_00002790_INT#LTR/Gypsy,LTR,Gypsy,Reina,1,+,GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina,6,1,TE_00002790
173,TE_00002795_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,aRH|Retand,1,1,TE_00002795
174,TE_00002806_INT#LTR/Copia,LTR,Copia,Bianca,0,?,PROT|Bianca INT|Bianca RT|Bianca RH|Bianca,4,1,TE_00002806
175,TE_00002813_LTR#LTR/Gypsy,LTR,Gypsy,CRM,0,+,CHDCR|CRM,1,2,TE_00002813
176,TE_00002828_INT#LTR/Copia,LTR,Copia,Ikeros,0,+,INT|Ikeros,1,1,TE_00002828
177,TE_00002830_INT#LTR/unknown,LTR,Gypsy,Retand,0,-,GAG|Retand,1,1,TE_00002830
178,TE_00002856_INT#LTR/Copia,LTR,Copia,SIRE,0,+,GAG|SIRE,1,1,TE_00002856
179,TE_00002865_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,aRH|Retand INT|Retand,2,1,TE_00002865
180,TE_00002878_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,GAG|Retand,1,1,TE_00002878
181,TE_00002881_INT#LTR/Copia,LTR,Copia,Ale,1,+,GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale,5,1,TE_00002881
182,TE_00002899_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,-,RH|Retand,1,1,TE_00002899
183,TE_00002914_INT#LTR/Gypsy,LTR,Gypsy,Reina,1,+,GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina,6,1,TE_00002914
184,TE_00002915_INT#LTR/Copia,LTR,Copia,Ale,0,+,PROT|Ale INT|Ale,2,1,TE_00002915
185,TE_00002931_LTR#LTR/Gypsy,LTR,Gypsy,CRM,0,+,CHDCR|CRM,1,2,TE_00002931
186,TE_00002938_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,-,RH|Retand,1,1,TE_00002938
187,TE_00002942_INT#LTR/Gypsy,LTR,Gypsy,Reina,1,+,GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina,6,1,TE_00002942
188,TE_00002950_INT#LTR/Copia,LTR,Copia,Ale,0,+,GAG|Osser PROT|Ale INT|Ale,3,1,TE_00002950
189,TE_00002953_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,-,aRH|Retand INT|Retand,2,1,TE_00002953
190,TE_00002966_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,aRH|Retand,1,1,TE_00002966
191,TE_00002967_INT#LTR/Gypsy,LTR,Gypsy,Reina,1,+,GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina,6,1,TE_00002967
192,TE_00002978_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,RT|Retand,1,1,TE_00002978
193,TE_00002989_INT#LTR/Gypsy,LTR,Gypsy,Tekay,0,+,PROT|Tekay,1,1,TE_00002989
194,TE_00002994_INT#LTR/Gypsy,LTR,Gypsy,Reina,1,+,GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina,6,1,TE_00002994
195,TE_00003015_INT#LTR/Copia,LTR,Copia,Ale,0,+,PROT|Ale INT|Ale,2,1,TE_00003015
196,TE_00003020_INT#LTR/Gypsy,LTR,Gypsy,Reina,1,+,GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina,6,1,TE_00003020
197,TE_00003026_INT#LTR/Gypsy,LTR,Gypsy,Tekay,0,+,PROT|Tekay,1,1,TE_00003026
198,TE_00003029_INT#LTR/Gypsy,LTR,Gypsy,Reina,1,+,GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina,6,1,TE_00003029
199,TE_00003052_INT#LTR/Copia,LTR,Copia,Ale,0,+,PROT|Ale INT|Ale RT|Ale RH|Ale,4,1,TE_00003052
200,TE_00003053_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,PROT|Retand RT|Retand,2,1,TE_00003053
201,TE_00003066_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,GAG|Retand,1,1,TE_00003066
202,TE_00003067_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,GAG|Retand,1,1,TE_00003067
203,TE_00003073_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,-,aRH|Retand,1,1,TE_00003073
204,TE_00003081_INT#LTR/Gypsy,LTR,Gypsy,Reina,1,+,GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina,6,1,TE_00003081
205,TE_00003094_INT#LTR/Gypsy,LTR,Gypsy,Reina,1,+,GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina,6,1,TE_00003094
