#id	length	evalue	coverge	probability	score
TE_00001405_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/TatII:Ty3-aRH	67	8.7e-20	51.2	0.98	64.6
TE_00001421_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	89	5e-13	100.0	0.95	43.0
TE_00001421_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	71	6.9e-20	100.0	0.95	65.1
TE_00001421_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	86	1.2e-22	40.7	0.93	74.2
TE_00001421_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	255	5.8e-112	99.2	0.99	366.6
TE_00001421_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	115	1.1e-54	89.8	0.95	177.6
TE_00001427_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/CRM:Ty3-GAG	50	2.3e-13	36.9	0.97	44.1
TE_00001472_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Angela:Ty1-GAG	86	6.2e-48	95.6	1.0	154.9
TE_00001473_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	72	1.4e-12	59.0	0.93	41.9
TE_00001475_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-RT	53	2.2e-27	29.9	0.97	89.4
TE_00001479_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/CRM:Ty3-GAG	130	3.1e-46	100.0	1.0	150.4
TE_00001479_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/CRM:Ty3-PROT	63	5.4e-21	73.3	0.97	68.4
TE_00001479_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/CRM:Ty3-INT	67	4.5e-18	21.1	0.97	59.1
TE_00001498_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	76	2.5e-31	38.2	0.97	102.4
TE_00001498_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	56	2e-20	38.6	0.99	67.1
TE_00001504_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-GAG	128	2.7e-52	100.0	0.99	169.7
TE_00001504_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-CHD	28	1.9e-07	32.5	0.95	24.8
TE_00001504_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-PROT	64	1.1e-07	62.7	0.89	26.0
TE_00001509_INT#LTR/Copia|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre:Ty3-PROT	74	9.2e-21	96.1	0.96	67.5
TE_00001509_INT#LTR/Copia|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre:Ty3-RH	147	6.1e-53	92.1	0.98	172.4
TE_00001509_INT#LTR/Copia|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre:Ty3-INT	318	4.2e-150	100.0	0.99	493.0
TE_00001509_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	88	4.6e-11	83.3	0.86	36.7
TE_00001519_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	121	1.3e-32	100.0	0.97	106.5
TE_00001519_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	5.9e-25	100.0	1.0	81.1
TE_00001519_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	173	1.3e-91	100.0	1.0	298.7
TE_00001519_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	145	7.7e-64	100.0	1.0	207.9
TE_00001519_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	76	2.1e-17	96.1	0.91	56.9
TE_00001520_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	53	4.1e-05	43.3	0.84	17.7
TE_00001520_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	72	5.6e-27	100.0	0.99	87.8
TE_00001520_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	61	2.3e-26	31.4	0.98	86.3
TE_00001520_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	115	4.6e-35	43.2	0.93	114.6
TE_00001520_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	5.4e-54	100.0	0.96	175.3
TE_00001542_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-GAG	74	1.7e-21	59.0	0.93	70.2
TE_00001543_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	116	4.2e-25	100.0	0.94	82.3
TE_00001543_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	8.5e-28	100.0	0.99	90.2
TE_00001543_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	169	5.5e-85	100.0	0.99	277.1
TE_00001543_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	132	3.9e-55	87.6	0.99	179.7
TE_00001543_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	215	1.1e-106	66.2	0.98	349.8
TE_00001543_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	71	1.2e-20	100.0	0.88	67.3
TE_00001550_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	118	5.5e-35	100.0	0.98	114.1
TE_00001550_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	73	9.7e-21	100.0	0.97	67.6
TE_00001550_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	173	3e-93	100.0	1.0	304.0
TE_00001550_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	137	9e-55	93.1	0.99	178.5
TE_00001550_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	253	1.5e-121	80.8	0.99	398.6
TE_00001550_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	71	2e-16	98.7	0.9	53.8
TE_00001554_INT#LTR/unknown|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-INT	147	7.7e-32	47.9	0.93	104.5
TE_00001554_INT#LTR/unknown|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-aRH	125	6.5e-33	100.0	0.96	107.1
TE_00001559_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	69	1.2e-28	95.8	0.92	93.2
TE_00001559_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	90	8.4e-15	92.2	0.91	48.7
TE_00001559_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	195	1.2e-64	100.0	0.97	211.1
TE_00001559_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	97	7.8e-87	36.2	0.99	284.3
TE_00001559_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	62	3.1e-32	48.8	0.99	105.0
TE_00001567_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	81	5.8e-16	64.1	0.9	52.8
TE_00001567_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	3.9e-23	100.0	0.99	75.2
TE_00001567_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	80	7.5e-31	43.9	0.96	100.8
TE_00001567_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	86	2.8e-29	57.9	0.97	95.8
TE_00001567_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	148	3.9e-67	45.8	0.99	219.9
TE_00001567_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	73	4.8e-21	98.7	0.93	68.6
TE_00001570_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-CHD	70	2.2e-26	70.1	0.96	85.4
TE_00001580_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	117	2.4e-30	99.1	0.96	99.2
TE_00001580_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	1.7e-26	100.0	1.0	86.0
TE_00001580_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	172	5.3e-83	100.0	0.98	270.6
TE_00001580_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	145	5.5e-61	100.0	1.0	198.7
TE_00001580_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	307	2.2e-127	98.4	0.98	417.7
TE_00001580_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	71	5.8e-18	100.0	0.94	58.7
TE_00001582_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-INT	146	4e-54	45.3	0.98	177.7
TE_00001584_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-INT	180	6.2e-40	57.9	0.92	131.1
TE_00001584_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-RH	71	3.4e-12	24.9	0.89	40.2
TE_00001586_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	89	6.4e-19	100.0	0.96	61.9
TE_00001586_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	72	6e-25	100.0	0.99	81.3
TE_00001586_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	102	2.6e-38	49.5	0.96	125.3
TE_00001586_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	130	2.3e-59	49.0	0.98	194.3
TE_00001586_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	3.8e-57	100.0	0.98	185.5
TE_00001608_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-INT	104	5.3e-23	33.8	0.99	75.5
TE_00001610_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-RH	64	4.1e-20	23.6	0.97	66.1
TE_00001610_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-INT	143	9.6e-39	41.8	0.92	127.2
TE_00001627_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-INT	196	4e-58	61.4	0.94	190.9
TE_00001657_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	121	2.4e-33	100.0	0.98	108.9
TE_00001657_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	2.5e-26	100.0	1.0	85.5
TE_00001657_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	48	1.4e-28	24.3	0.95	93.4
TE_00001657_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	75	1.7e-28	51.7	0.99	93.3
TE_00001657_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	129	4.2e-38	38.3	0.96	124.5
TE_00001657_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	75	1.3e-19	96.1	0.96	64.0
TE_00001659_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	93	7.7e-14	98.9	0.95	45.7
TE_00001659_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	74	2.7e-23	100.0	0.95	76.0
TE_00001659_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	196	1.8e-75	100.0	0.99	246.5
TE_00001659_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	256	9.3e-117	100.0	0.99	382.3
TE_00001659_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	29	0.00039	20.5	0.96	14.2
TE_00001688_INT#LTR/unknown|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	90	3.3e-11	100.0	0.9	37.2
TE_00001688_INT#LTR/unknown|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	1.4e-51	100.0	0.96	167.5
TE_00001715_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	88	6e-12	98.9	0.92	39.6
TE_00001715_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	71	1.6e-19	97.2	0.93	63.9
TE_00001715_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	176	3.3e-62	64.2	0.96	203.6
TE_00001715_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	3.9e-55	100.0	0.99	179.0
TE_00001726_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-GAG	117	7.6e-40	97.5	0.98	129.5
TE_00001732_INT#LTR/unknown|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	86	2e-10	78.4	0.92	34.5
TE_00001736_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-aRH	121	8.2e-40	100.0	0.94	129.4
TE_00001736_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-INT	314	1.6e-102	100.0	0.96	336.7
TE_00001751_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre:Ty3-aRH	50	4.1e-11	37.7	0.9	36.6
TE_00001752_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	64	8.7e-10	70.0	0.95	32.7
TE_00001766_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-PROT	38	1.1e-07	45.3	0.92	26.0
TE_00001772_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	59	5.5e-16	49.6	0.98	52.9
TE_00001772_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	2.9e-27	100.0	1.0	88.5
TE_00001772_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	94	1.5e-54	53.2	0.99	178.0
TE_00001772_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	145	4e-64	100.0	1.0	208.9
TE_00001772_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	65	1.4e-77	20.5	0.98	254.1
TE_00001772_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	76	1e-26	97.4	0.93	86.7
TE_00001778_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-INT	129	6.1e-47	40.5	0.99	154.1
TE_00001780_INT#LTR/Copia|Class_I/LTR/Ty1_copia/SIRE:Ty1-GAG	82	6.1e-27	82.8	0.96	87.5
TE_00001784_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-PROT	50	4.6e-11	54.4	0.9	36.9
TE_00001784_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-RT	112	8.5e-38	59.8	0.97	123.4
TE_00001794_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-GAG	93	2.9e-30	98.9	0.98	98.0
TE_00001794_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-RT	116	1.5e-32	44.0	0.94	106.5
TE_00001794_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-RH	91	2.4e-37	71.7	0.99	121.3
TE_00001801_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	90	4.9e-15	92.2	0.91	49.5
TE_00001801_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	71	2.2e-20	100.0	0.95	66.7
TE_00001801_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	114	8e-38	58.2	0.99	123.7
TE_00001810_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-aRH	37	2.2e-10	29.8	0.97	34.4
TE_00001810_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-INT	98	6.8e-27	25.4	0.92	88.3
TE_00001826_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-GAG	128	4e-50	100.0	0.99	162.7
