#TE	Order	Superfamily	Clade	Complete	Strand	Domains
TE_00001099_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00001120_INT#LTR/unknown	LTR	Gypsy	Retand	no	+	GAG|Retand INT|Retand
TE_00001203_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	INT|CRM
TE_00001220_INT#LTR/unknown	LINE	unknown	unknown	unknown	+	RH|LINE
TE_00001270_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	PROT|Reina
TE_00001322_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay PROT|Tekay
TE_00001405_INT#LTR/Gypsy	LTR	Gypsy	TatII	no	+	aRH|TatII
TE_00001421_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00001427_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	GAG|CRM
TE_00001472_INT#LTR/Copia	LTR	Copia	Angela	no	+	GAG|Angela
TE_00001473_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	GAG|Reina
TE_00001475_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RT|Retand
TE_00001479_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	GAG|CRM PROT|CRM INT|CRM
TE_00001498_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	RT|Reina RH|Reina
TE_00001504_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	?	GAG|Tekay CHD|Tekay PROT|Tekay
TE_00001509_INT#LTR/Copia	LTR	Gypsy	Ogre	no	+	PROT|Ogre RH|Ogre INT|Ogre GAG|Ale
TE_00001519_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	GAG|Reina PROT|Reina RT|Reina RH|Reina CHD|Reina
TE_00001520_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00001542_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	GAG|Retand
TE_00001543_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00001550_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00001554_INT#LTR/unknown	LTR	Gypsy	Retand	no	-	aRH|Retand INT|Retand
TE_00001559_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale GAG|Ale INT|Ale RT|Ale RH|Ale
TE_00001567_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00001570_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	CHD|Tekay
TE_00001580_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00001582_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00001584_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	RH|Retand INT|Retand
TE_00001586_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00001608_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	INT|Retand
TE_00001610_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RH|Retand INT|Retand
TE_00001627_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00001657_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00001659_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00001688_INT#LTR/unknown	LTR	Copia	Ale	no	+	GAG|Ale RH|Ale
TE_00001715_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Ale PROT|Ale RT|Ale RH|Ale
TE_00001726_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00001732_INT#LTR/unknown	LTR	Gypsy	Reina	no	+	PROT|Reina
TE_00001736_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand INT|Retand
TE_00001751_INT#LTR/Gypsy	LTR	Gypsy	Ogre	no	+	aRH|Ogre
TE_00001752_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Ale
TE_00001766_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay
TE_00001772_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00001778_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00001780_INT#LTR/Copia	LTR	Copia	SIRE	no	+	GAG|SIRE
TE_00001784_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	PROT|Retand RT|Retand
TE_00001794_INT#LTR/Copia	LTR	Copia	Ivana	no	+	GAG|Ivana RT|Ivana RH|Ivana
TE_00001801_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Ale PROT|Ale INT|Ale
TE_00001810_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand INT|Retand
TE_00001826_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay PROT|Tekay
TE_00001831_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00001839_INT#LTR/Copia	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00001845_INT#LTR/unknown	LTR	Copia	Ale	no	+	GAG|Ale RT|Ale
TE_00001850_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale
TE_00001854_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00001863_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	INT|Retand
TE_00001864_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00001876_INT#LTR/Copia	LTR	Gypsy	CRM	no	+	GAG|CRM PROT|CRM
TE_00001891_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00001893_INT#LTR/Copia	LTR	Copia	Ale	no	?	RH|Ale RT|Ale
TE_00001904_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00001911_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	aRH|Retand INT|Retand
TE_00001912_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RT|Retand
TE_00001919_INT#LTR/unknown	LTR	Gypsy	Reina	no	+	GAG|Reina
TE_00001920_INT#LTR/Gypsy	LTR	Gypsy	TatII	no	+	aRH|TatII
TE_00001922_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay
TE_00001926_INT#LTR/Gypsy	LTR	Gypsy	Ogre	no	+	aRH|Ogre
TE_00001927_INT#LTR/Copia	LTR	Copia	Tork	yes	+	GAG|Tork PROT|Tork INT|Tork RT|Tork RH|Tork
TE_00001933_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00001936_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	GAG|Reina PROT|Reina RT|Reina CHD|Reina
TE_00001952_INT#LTR/Copia	LTR	Copia	Ivana	no	+	GAG|Ivana RT|Ivana RH|Ivana
TE_00001957_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00001964_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00001967_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00001979_INT#LTR/Copia	LTR	Copia	Angela	no	+	RH|Angela
TE_00001983_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	-	CHD|Reina
TE_00001991_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale
TE_00001995_INT#LTR/Copia	LTR	Copia	SIRE	no	+	GAG|SIRE
TE_00002001_INT#LTR/unknown	LTR	Copia	Bianca	no	+	RH|Bianca
TE_00002002_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00002015_INT#LTR/Gypsy	LTR	Gypsy	Ogre	no	+	PROT|Ogre RT|Ogre RH|Ogre INT|Ogre
TE_00002019_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay
TE_00002039_INT#LTR/Copia	LTR	Copia	SIRE	no	+	GAG|SIRE
TE_00002047_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay
TE_00002051_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	GAG|Reina PROT|Reina RT|Reina RH|Reina CHD|Reina
TE_00002053_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale
TE_00002069_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00002101_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00002106_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00002108_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00002110_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale
TE_00002113_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	GAG|Retand PROT|Retand aRH|Retand INT|Retand
TE_00002125_INT#LTR/unknown	LTR	Copia	Bianca	no	+	RH|Bianca
TE_00002141_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Ale PROT|Ale INT|Ale RH|Ale
TE_00002146_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	INT|Retand
TE_00002147_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	GAG|Reina PROT|Reina RT|Reina RH|Reina
TE_00002175_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay PROT|Tekay
TE_00002177_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00002182_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00002213_LTR#LTR/Copia	LTR	Copia	SIRE	no	+	RT|SIRE RH|SIRE
TE_00002219_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00002230_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay
TE_00002232_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00002256_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00002266_INT#LTR/Gypsy	LTR	Gypsy	Ogre	no	+	PROT|Ogre RT|Ogre RH|Ogre INT|Ogre
TE_00002280_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00002309_INT#LTR/unknown	LTR	Copia	Ale	no	+	INT|Ale
TE_00002342_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00002360_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Ale
TE_00002367_INT#LTR/unknown	LTR	Copia	Ale	no	+	GAG|Reina PROT|Ale INT|Ale RT|Ale CHD|Reina
TE_00002370_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	INT|Reina CHD|Reina
TE_00002375_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale RT|Ale
TE_00002386_INT#LTR/Copia	LTR	Copia	Ivana	no	+	RH|Ivana
TE_00002401_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	RT|Retand aRH|Retand INT|Retand
TE_00002406_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00002428_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00002431_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale
TE_00002434_INT#LTR/Copia	LTR	Copia	SIRE	no	+	GAG|SIRE
TE_00002457_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay
TE_00002462_INT#LTR/Copia	LTR	Copia	Ikeros	no	+	INT|Ikeros
TE_00002463_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale
TE_00002499_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00002500_INT#LTR/Copia	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00002516_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RT|Retand
TE_00002524_INT#LTR/Copia	LTR	Copia	SIRE	no	+	GAG|SIRE
TE_00002529_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00002535_INT#LTR/unknown	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale
TE_00002542_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	PROT|Reina INT|Reina CHD|Reina
TE_00002549_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00002561_INT#LTR/Gypsy	LTR	Gypsy	mixture	no	-	aRH|TatII INT|Retand
TE_00002564_INT#LTR/Gypsy	LTR	Copia	Ikeros	no	+	INT|Ikeros RH|Ikeros
TE_00002569_INT#LTR/Copia	LTR	Copia	Ale	no	+	RT|Ale
TE_00002571_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Ale PROT|Ale INT|Ale RT|Ale
TE_00002598_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RH|Retand INT|Retand
TE_00002640_LTR#LTR/Copia	LTR	Copia	SIRE	no	+	GAG|SIRE PROT|SIRE INT|SIRE
TE_00002651_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00002655_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RH|Retand
TE_00002656_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00002657_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Ale PROT|Ale INT|Ale
TE_00002661_INT#LTR/unknown	LTR	Gypsy	Reina	no	+	RH|Reina
TE_00002662_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	GAG|CRM
TE_00002680_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	GAG|CRM PROT|CRM
TE_00002687_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00002695_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	PROT|Retand
TE_00002697_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	CHD|Tekay
TE_00002716_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00002736_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	aRH|Retand
TE_00002750_INT#LTR/Gypsy	LTR	Gypsy	mixture	no	+	aRH|TatII INT|Retand
TE_00002757_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00002766_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand INT|Retand
TE_00002781_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00002788_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale
TE_00002790_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00002795_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00002806_INT#LTR/Copia	LTR	Copia	Bianca	no	?	PROT|Bianca INT|Bianca RT|Bianca RH|Bianca
TE_00002813_LTR#LTR/Gypsy	LTR	Gypsy	CRM	no	+	CHDCR|CRM
TE_00002828_INT#LTR/Copia	LTR	Copia	Ikeros	no	+	INT|Ikeros
TE_00002830_INT#LTR/unknown	LTR	Gypsy	Retand	no	-	GAG|Retand
TE_00002856_INT#LTR/Copia	LTR	Copia	SIRE	no	+	GAG|SIRE
TE_00002865_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand INT|Retand
TE_00002878_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00002881_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00002899_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	RH|Retand
TE_00002914_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00002915_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale
TE_00002931_LTR#LTR/Gypsy	LTR	Gypsy	CRM	no	+	CHDCR|CRM
TE_00002938_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	RH|Retand
TE_00002942_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00002950_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Osser PROT|Ale INT|Ale
TE_00002953_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	aRH|Retand INT|Retand
TE_00002966_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00002967_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00002978_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RT|Retand
TE_00002989_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay
TE_00002994_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00003015_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale
TE_00003020_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00003026_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay
TE_00003029_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00003052_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00003053_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	PROT|Retand RT|Retand
TE_00003066_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00003067_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00003073_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	aRH|Retand
TE_00003081_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00003094_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00003112_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	PROT|Retand INT|Retand
TE_00003118_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	GAG|Reina INT|Reina CHD|Reina
TE_00003165_INT#LTR/unknown	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale RT|Ale
TE_00003170_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00003195_INT#LTR/Copia	LTR	Copia	Ivana	no	+	GAG|Ivana RT|Ivana RH|Ivana
TE_00003207_INT#LTR/unknown	LTR	Copia	Ivana	no	+	RH|Ivana
TE_00003215_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand RT|Retand RH|Retand INT|Retand
TE_00003235_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay
TE_00003252_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	RT|Reina
TE_00003258_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00003281_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00003314_INT#LTR/Copia	LTR	Copia	Bianca	no	+	GAG|Bianca
TE_00003317_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	PROT|Retand RT|Retand
TE_00003319_INT#LTR/Copia	LTR	Copia	Ikeros	yes	+	GAG|Ikeros PROT|Ikeros INT|Ikeros RT|Ikeros RH|Ikeros
TE_00003341_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale
TE_00003343_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00003345_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00003360_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RT|Retand
TE_00003365_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	PROT|Retand INT|Retand
TE_00003371_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00003394_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	aRH|Retand INT|Retand
TE_00003395_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00003415_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00003417_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	RT|Retand RH|Retand
TE_00003432_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale
TE_00003437_INT#LTR/Copia	LTR	Copia	Ale	no	+	INT|Ale
TE_00003442_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	GAG|Retand
TE_00003443_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Ale PROT|Ale INT|Ale
TE_00003446_INT#LTR/unknown	LTR	Copia	Ale	no	?	CHD|Tekay GAG|Ale PROT|Ale INT|Ale
TE_00003448_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Ale INT|Ale RT|Ale RH|Ale
TE_00003456_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Ale PROT|Ale INT|Ale
TE_00003458_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay
TE_00003461_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale
TE_00003469_INT#LTR/Copia	LTR	Copia	Ale	yes	-	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00003470_INT#LTR/Copia	LTR	Copia	Ale	no	+	INT|Ale
TE_00003478_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	GAG|CRM
TE_00003483_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Ale PROT|Ale INT|Ale
TE_00003495_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay PROT|Tekay
TE_00003498_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand INT|Retand
TE_00003503_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay PROT|Tekay CHD|Tekay
TE_00003506_INT#LTR/Copia	LTR	Gypsy	Retand	no	-	GAG|Retand
TE_00003512_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00003518_LTR#LTR/Copia	LTR	Copia	TAR	yes	+	GAG|TAR PROT|TAR INT|TAR RT|TAR RH|TAR
TE_00003528_INT#LTR/Copia	LTR	Copia	Bianca	no	+	GAG|Bianca
TE_00003532_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	RT|CRM
TE_00003533_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Osser PROT|Ale INT|Ale
TE_00003535_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
