sample_id,sample_download_link,sample_tissue,sample_project_number,sample_description
SRR13518174,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/074/SRR13518174/SRR13518174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/074/SRR13518174/SRR13518174_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13515478,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/078/SRR13515478/SRR13515478_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/078/SRR13515478/SRR13515478_2.fastq.gz,mixed,PRJNA694321,Zeamayssspmaysl_AB519-01-T09
SRR13515479,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/079/SRR13515479/SRR13515479_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/079/SRR13515479/SRR13515479_2.fastq.gz,mixed,PRJNA694321,Zeamayssspmaysl_AB519-01-T08
SRR13515480,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/080/SRR13515480/SRR13515480_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/080/SRR13515480/SRR13515480_2.fastq.gz,mixed,PRJNA694321,Zeamayssspmaysl_AB519-01-T07
SRR13515481,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/081/SRR13515481/SRR13515481_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/081/SRR13515481/SRR13515481_2.fastq.gz,mixed,PRJNA694321,Zeamayssspmaysl_AB519-01-T06
SRR13515482,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/082/SRR13515482/SRR13515482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/082/SRR13515482/SRR13515482_2.fastq.gz,mixed,PRJNA694321,Zeamayssspmaysl_AB519-01-T05
SRR13515483,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/083/SRR13515483/SRR13515483_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/083/SRR13515483/SRR13515483_2.fastq.gz,mixed,PRJNA694321,Zeamayssspmaysl_AB519-01-T04
SRR13515484,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/084/SRR13515484/SRR13515484_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/084/SRR13515484/SRR13515484_2.fastq.gz,mixed,PRJNA694321,Zeamayssspmaysl_AB519-01-T03
SRR13515485,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/085/SRR13515485/SRR13515485_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/085/SRR13515485/SRR13515485_2.fastq.gz,mixed,PRJNA694321,Zeamayssspmaysl_AB519-01-T02
SRR13515486,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/086/SRR13515486/SRR13515486_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/086/SRR13515486/SRR13515486_2.fastq.gz,mixed,PRJNA694321,Zeamayssspmaysl_AB519-01-T01
SRR13487999,ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/099/SRR13487999/SRR13487999_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/099/SRR13487999/SRR13487999_2.fastq.gz,mixed,PRJNA693427,Analysis of differentially expressed genes between transgenic lines and wild type
SRR13488000,ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/000/SRR13488000/SRR13488000_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/000/SRR13488000/SRR13488000_2.fastq.gz,mixed,PRJNA693427,Analysis of differentially expressed genes between transgenic lines and wild type
SRR13488001,ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/001/SRR13488001/SRR13488001_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/001/SRR13488001/SRR13488001_2.fastq.gz,mixed,PRJNA693427,Analysis of differentially expressed genes between transgenic lines and wild type
SRR13488002,ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/002/SRR13488002/SRR13488002_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/002/SRR13488002/SRR13488002_2.fastq.gz,mixed,PRJNA693427,Analysis of differentially expressed genes between transgenic lines and wild type
SRR13488003,ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/003/SRR13488003/SRR13488003_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/003/SRR13488003/SRR13488003_2.fastq.gz,mixed,PRJNA693427,Analysis of differentially expressed genes between transgenic lines and wild type
SRR13488004,ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/004/SRR13488004/SRR13488004_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/004/SRR13488004/SRR13488004_2.fastq.gz,mixed,PRJNA693427,Analysis of differentially expressed genes between transgenic lines and wild type
SRR13488005,ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/005/SRR13488005/SRR13488005_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/005/SRR13488005/SRR13488005_2.fastq.gz,mixed,PRJNA693427,Analysis of differentially expressed genes between transgenic lines and wild type
SRR13488006,ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/006/SRR13488006/SRR13488006_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/006/SRR13488006/SRR13488006_2.fastq.gz,mixed,PRJNA693427,Analysis of differentially expressed genes between transgenic lines and wild type
SRR13488007,ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/007/SRR13488007/SRR13488007_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/007/SRR13488007/SRR13488007_2.fastq.gz,mixed,PRJNA693427,Analysis of differentially expressed genes between transgenic lines and wild type
SRR13681165,ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/065/SRR13681165/SRR13681165_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/065/SRR13681165/SRR13681165_2.fastq.gz,mixed,PRJNA701291,m4
SRR13685389,ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/089/SRR13685389/SRR13685389_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/089/SRR13685389/SRR13685389_2.fastq.gz,mixed,PRJNA701291,m4
SRR13686055,ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/055/SRR13686055/SRR13686055_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/055/SRR13686055/SRR13686055_2.fastq.gz,mixed,PRJNA701291,m4
SRR13686428,ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/028/SRR13686428/SRR13686428_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/028/SRR13686428/SRR13686428_2.fastq.gz,mixed,PRJNA701291,m4
SRR13686449,ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/049/SRR13686449/SRR13686449_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/049/SRR13686449/SRR13686449_2.fastq.gz,mixed,PRJNA701291,m4
SRR13686482,ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/082/SRR13686482/SRR13686482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/082/SRR13686482/SRR13686482_2.fastq.gz,mixed,PRJNA701291,m4
SRR12616467,ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/067/SRR12616467/SRR12616467_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/067/SRR12616467/SRR12616467_2.fastq.gz,ear,PRJNA494874,maize Zmcle7 and WT ear tip RNA-seq
SRR12616468,ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/068/SRR12616468/SRR12616468_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/068/SRR12616468/SRR12616468_2.fastq.gz,ear,PRJNA494874,maize Zmcle7 and WT ear tip RNA-seq
SRR12616469,ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/069/SRR12616469/SRR12616469_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/069/SRR12616469/SRR12616469_2.fastq.gz,ear,PRJNA494874,maize Zmcle7 and WT ear tip RNA-seq
SRR12616470,ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/070/SRR12616470/SRR12616470_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/070/SRR12616470/SRR12616470_2.fastq.gz,ear,PRJNA494874,maize Zmcle7 and WT ear tip RNA-seq
SRR7970747,ftp.sra.ebi.ac.uk/vol1/fastq/SRR797/007/SRR7970747/SRR7970747_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR797/007/SRR7970747/SRR7970747_2.fastq.gz,ear,PRJNA494874,maize Zmcle7 and WT ear tip RNA-seq
SRR7970748,ftp.sra.ebi.ac.uk/vol1/fastq/SRR797/008/SRR7970748/SRR7970748_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR797/008/SRR7970748/SRR7970748_2.fastq.gz,ear,PRJNA494874,maize Zmcle7 and WT ear tip RNA-seq
SRR7970749,ftp.sra.ebi.ac.uk/vol1/fastq/SRR797/009/SRR7970749/SRR7970749_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR797/009/SRR7970749/SRR7970749_2.fastq.gz,ear,PRJNA494874,maize Zmcle7 and WT ear tip RNA-seq
SRR7970750,ftp.sra.ebi.ac.uk/vol1/fastq/SRR797/000/SRR7970750/SRR7970750_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR797/000/SRR7970750/SRR7970750_2.fastq.gz,ear,PRJNA494874,maize Zmcle7 and WT ear tip RNA-seq
SRR13402204,ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/004/SRR13402204/SRR13402204_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/004/SRR13402204/SRR13402204_2.fastq.gz,mixed,PRJNA691177,This sample has been submitted by pda|ndkrom on 2021-01-12; Zea mays
SRR13402205,ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/005/SRR13402205/SRR13402205_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/005/SRR13402205/SRR13402205_2.fastq.gz,mixed,PRJNA691177,This sample has been submitted by pda|ndkrom on 2021-01-12; Zea mays
SRR13402206,ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/006/SRR13402206/SRR13402206_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/006/SRR13402206/SRR13402206_2.fastq.gz,mixed,PRJNA691177,This sample has been submitted by pda|ndkrom on 2021-01-12; Zea mays
SRR13402207,ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/007/SRR13402207/SRR13402207_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/007/SRR13402207/SRR13402207_2.fastq.gz,mixed,PRJNA691177,This sample has been submitted by pda|ndkrom on 2021-01-12; Zea mays
SRR13402208,ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/008/SRR13402208/SRR13402208_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/008/SRR13402208/SRR13402208_2.fastq.gz,mixed,PRJNA691177,This sample has been submitted by pda|ndkrom on 2021-01-12; Zea mays
SRR13402209,ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/009/SRR13402209/SRR13402209_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/009/SRR13402209/SRR13402209_2.fastq.gz,mixed,PRJNA691177,This sample has been submitted by pda|ndkrom on 2021-01-12; Zea mays
SRR13402210,ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/010/SRR13402210/SRR13402210_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/010/SRR13402210/SRR13402210_2.fastq.gz,mixed,PRJNA691177,This sample has been submitted by pda|ndkrom on 2021-01-12; Zea mays
SRR13402211,ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/011/SRR13402211/SRR13402211_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/011/SRR13402211/SRR13402211_2.fastq.gz,mixed,PRJNA691177,This sample has been submitted by pda|ndkrom on 2021-01-12; Zea mays
SRR13402212,ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/012/SRR13402212/SRR13402212_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/012/SRR13402212/SRR13402212_2.fastq.gz,mixed,PRJNA691177,This sample has been submitted by pda|ndkrom on 2021-01-12; Zea mays
SRR13402213,ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/013/SRR13402213/SRR13402213_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/013/SRR13402213/SRR13402213_2.fastq.gz,mixed,PRJNA691177,This sample has been submitted by pda|ndkrom on 2021-01-12; Zea mays
SRR13402214,ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/014/SRR13402214/SRR13402214_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/014/SRR13402214/SRR13402214_2.fastq.gz,mixed,PRJNA691177,This sample has been submitted by pda|ndkrom on 2021-01-12; Zea mays
SRR13402215,ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/015/SRR13402215/SRR13402215_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/015/SRR13402215/SRR13402215_2.fastq.gz,mixed,PRJNA691177,This sample has been submitted by pda|ndkrom on 2021-01-12; Zea mays
SRR13402216,ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/016/SRR13402216/SRR13402216_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/016/SRR13402216/SRR13402216_2.fastq.gz,mixed,PRJNA691177,This sample has been submitted by pda|ndkrom on 2021-01-12; Zea mays
SRR13402217,ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/017/SRR13402217/SRR13402217_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/017/SRR13402217/SRR13402217_2.fastq.gz,mixed,PRJNA691177,This sample has been submitted by pda|ndkrom on 2021-01-12; Zea mays
SRR13402218,ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/018/SRR13402218/SRR13402218_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/018/SRR13402218/SRR13402218_2.fastq.gz,mixed,PRJNA691177,This sample has been submitted by pda|ndkrom on 2021-01-12; Zea mays
SRR13402219,ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/019/SRR13402219/SRR13402219_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/019/SRR13402219/SRR13402219_2.fastq.gz,mixed,PRJNA691177,This sample has been submitted by pda|ndkrom on 2021-01-12; Zea mays
SRR13402220,ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/020/SRR13402220/SRR13402220_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/020/SRR13402220/SRR13402220_2.fastq.gz,mixed,PRJNA691177,This sample has been submitted by pda|ndkrom on 2021-01-12; Zea mays
SRR13402221,ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/021/SRR13402221/SRR13402221_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR134/021/SRR13402221/SRR13402221_2.fastq.gz,mixed,PRJNA691177,This sample has been submitted by pda|ndkrom on 2021-01-12; Zea mays
